Season,Competition,Matchday,Date,Venue,Club,Opponent,Star Sign,Distance from Aquarius
09/10,LaLiga,1,29-08,H,Real Madrid,Deportivo de La CoruÃÂ±a,Virgo,5
09/10,LaLiga,2,12-09,A,Real Madrid,RCD Espanyol Barcelona,Virgo,5
09/10,UEFA Champions League,Group Stage,15-09,A,Real Madrid,FC ZÃÂ¼rich,Virgo,5
09/10,UEFA Champions League,Group Stage,15-09,A,Real Madrid,FC ZÃÂ¼rich,Virgo,5
09/10,LaLiga,3,20-09,H,Real Madrid,Xerez CD,Virgo,5
09/10,LaLiga,3,20-09,H,Real Madrid,Xerez CD,Virgo,5
09/10,LaLiga,4,23-09,A,Real Madrid,Villarreal CF,Virgo,5
09/10,UEFA Champions League,Group Stage,30-09,H,Real Madrid,Olympique Marseille,Libra,4
09/10,UEFA Champions League,Group Stage,30-09,H,Real Madrid,Olympique Marseille,Libra,4
09/10,LaLiga,13,05-12,H,Real Madrid,UD Almeria,Sagittarius,2
09/10,UEFA Champions League,Group Stage,08-12,A,Real Madrid,Olympique Marseille,Sagittarius,2
09/10,UEFA Champions League,Group Stage,08-12,A,Real Madrid,Olympique Marseille,Sagittarius,2
09/10,LaLiga,15,19-12,H,Real Madrid,Real Zaragoza,Sagittarius,2
09/10,LaLiga,19,24-01,H,Real Madrid,Malaga CF,Aquarius,0
09/10,LaLiga,19,24-01,H,Real Madrid,Malaga CF,Aquarius,0
09/10,LaLiga,22,13-02,A,Real Madrid,Xerez CD,Aquarius,0
09/10,LaLiga,22,13-02,A,Real Madrid,Xerez CD,Aquarius,0
09/10,LaLiga,23,21-02,H,Real Madrid,Villarreal CF,Pisces,1
09/10,LaLiga,24,27-02,A,Real Madrid,CD Tenerife,Pisces,1
09/10,LaLiga,25,06-03,H,Real Madrid,Sevilla FC,Pisces,1
09/10,UEFA Champions League,last 16,10-03,H,Real Madrid,Olympique Lyon,Pisces,1
09/10,LaLiga,26,14-03,A,Real Madrid,Real Valladolid CF,Pisces,1
09/10,LaLiga,28,25-03,A,Real Madrid,Getafe CF,Aries,2
09/10,LaLiga,28,25-03,A,Real Madrid,Getafe CF,Aries,2
09/10,LaLiga,30,04-04,A,Real Madrid,Racing Santander,Aries,2
09/10,LaLiga,32,15-04,A,Real Madrid,UD Almeria,Aries,2
09/10,LaLiga,33,18-04,H,Real Madrid,Valencia CF,Aries,2
09/10,LaLiga,35,02-05,H,Real Madrid,CA Osasuna,Taurus,3
09/10,LaLiga,35,02-05,H,Real Madrid,CA Osasuna,Taurus,3
09/10,LaLiga,36,05-05,A,Real Madrid,RCD Mallorca,Taurus,3
09/10,LaLiga,36,05-05,A,Real Madrid,RCD Mallorca,Taurus,3
09/10,LaLiga,36,05-05,A,Real Madrid,RCD Mallorca,Taurus,3
09/10,LaLiga,37,08-05,H,Real Madrid,Athletic Bilbao,Taurus,3
10/11,LaLiga,4,21-09,H,Real Madrid,RCD Espanyol Barcelona,Virgo,5
10/11,LaLiga,6,03-10,H,Real Madrid,Deportivo de La CoruÃÂ±a,Libra,4
10/11,LaLiga,6,03-10,H,Real Madrid,Deportivo de La CoruÃÂ±a,Libra,4
10/11,LaLiga,7,16-10,A,Real Madrid,Malaga CF,Libra,4
10/11,LaLiga,7,16-10,A,Real Madrid,Malaga CF,Libra,4
10/11,UEFA Champions League,Group Stage,19-10,H,Real Madrid,AC Milan,Libra,4
10/11,LaLiga,8,23-10,H,Real Madrid,Racing Santander,Libra,4
10/11,LaLiga,8,23-10,H,Real Madrid,Racing Santander,Libra,4
10/11,LaLiga,8,23-10,H,Real Madrid,Racing Santander,Libra,4
10/11,LaLiga,8,23-10,H,Real Madrid,Racing Santander,Libra,4
10/11,LaLiga,9,30-10,A,Real Madrid,Hercules CF,Scorpio,3
10/11,LaLiga,9,30-10,A,Real Madrid,Hercules CF,Scorpio,3
10/11,Copa del Rey,4th round,10-11,H,Real Madrid,Real Murcia CF,Scorpio,3
10/11,LaLiga,12,20-11,H,Real Madrid,Athletic Bilbao,Scorpio,3
10/11,LaLiga,12,20-11,H,Real Madrid,Athletic Bilbao,Scorpio,3
10/11,LaLiga,12,20-11,H,Real Madrid,Athletic Bilbao,Scorpio,3
10/11,UEFA Champions League,Group Stage,23-11,A,Real Madrid,Ajax Amsterdam,Sagittarius,2
10/11,UEFA Champions League,Group Stage,23-11,A,Real Madrid,Ajax Amsterdam,Sagittarius,2
10/11,LaLiga,14,04-12,H,Real Madrid,Valencia CF,Sagittarius,2
10/11,LaLiga,14,04-12,H,Real Madrid,Valencia CF,Sagittarius,2
10/11,UEFA Champions League,Group Stage,08-12,H,Real Madrid,AJ Auxerre,Sagittarius,2
10/11,LaLiga,15,12-12,A,Real Madrid,Real Zaragoza,Sagittarius,2
10/11,Copa del Rey,last 16,22-12,H,Real Madrid,Levante UD,Capricorn,1
10/11,Copa del Rey,last 16,22-12,H,Real Madrid,Levante UD,Capricorn,1
10/11,Copa del Rey,last 16,22-12,H,Real Madrid,Levante UD,Capricorn,1
10/11,LaLiga,17,03-01,A,Real Madrid,Getafe CF,Capricorn,1
10/11,LaLiga,17,03-01,A,Real Madrid,Getafe CF,Capricorn,1
10/11,LaLiga,18,09-01,H,Real Madrid,Villarreal CF,Capricorn,1
10/11,LaLiga,18,09-01,H,Real Madrid,Villarreal CF,Capricorn,1
10/11,LaLiga,18,09-01,H,Real Madrid,Villarreal CF,Capricorn,1
